1006	141	1006	Renault	47446	7500	other
1271	138	1271	Mercedes-Benz	47165	6500	private
1250	136	1250	Renault	8446	5000	dealer
1132	135	1132	Mercedes-Benz	34490	7000	dealer
1235	133	1235	Mercedes-Benz	5847	5500	dealer
1258	131	1258	Mazda	44776	1000	dealer
1010	130	1010	Fiat	41201	1500	other
1181	128	1181	Renault	8933	3500	other
1098	127	1098	Toyota	11345	3500	private
1061	126	1061	Renault	5641	7000	other
1285	125	1285	Fiat	28621	2000	private
1204	124	1204	Toyota	36895	3500	other
1118	123	1118	Audi	38382	2000	private
1236	121	1236	Mercedes-Benz	22684	3500	other
1138	120	1138	Toyota	13986	8000	other
1298	119	1298	Mazda	15989	6500	dealer
1099	118	1099	BWM	5914	8500	dealer
1122	117	1122	Audi	40481	2000	other
1147	115	1147	Audi	19280	5500	private
1265	114	1265	Fiat	9147	6500	private
1134	112	1134	Mercedes-Benz	2954	8500	dealer
1262	111	1262	Renault	43778	8000	dealer
1037	110	1037	Fiat	14940	7000	other
1018	109	1018	Renault	33165	3000	dealer
1093	108	1093	Audi	25818	2000	other
1082	107	1082	Renault	36904	7500	dealer
1215	106	1215	Mazda	48868	500	other
1064	105	1064	VW	33391	6500	private
1123	104	1123	VW	39077	7000	dealer
1241	102	1241	Fiat	37559	10000	other
1290	101	1290	Audi	43005	7000	other
1286	100	1286	BWM	23002	2000	dealer
1257	99	1257	Mercedes-Benz	2357	8000	dealer
1025	98	1025	Renault	42112	1000	private
1144	97	1144	Mercedes-Benz	25467	2000	private
1232	96	1232	Toyota	1114	5000	private
1135	95	1135	Mazda	34597	2500	dealer
1077	94	1077	Mercedes-Benz	8007	4000	other
1280	93	1280	BWM	12529	6000	private
1012	92	1012	Audi	10286	3000	dealer
1067	91	1067	Mercedes-Benz	15312	5000	dealer
1004	90	1004	Mazda	25219	3000	other
1254	89	1254	Toyota	12179	8000	other
1275	87	1275	Mazda	15705	7000	other
1225	86	1225	Renault	46639	7000	other
1218	85	1218	Mazda	42629	5000	dealer
1074	84	1074	Audi	9513	5000	other
1115	83	1115	Audi	38022	500	private
1005	81	1005	Audi	43667	500	private
1057	80	1057	Mercedes-Benz	10866	9500	private
1216	79	1216	Fiat	31127	5000	dealer
1242	78	1242	Mercedes-Benz	42212	8500	dealer
1203	77	1203	VW	20083	2500	dealer
1199	76	1199	Audi	26739	9000	other
1198	75	1198	Audi	39961	2000	dealer
1260	74	1260	BWM	1691	1000	private
1141	73	1141	VW	781	4000	dealer
1229	72	1229	VW	5741	7500	other
1149	71	1149	Renault	19578	1500	dealer
1013	70	1013	Audi	22121	2000	dealer
1170	68	1170	Mercedes-Benz	23955	8500	dealer
1163	67	1163	Audi	46678	4000	dealer
1217	66	1217	Mercedes-Benz	38765	0	private
1020	65	1020	Toyota	5678	4500	other
1146	64	1146	Mercedes-Benz	26377	5500	other
1194	63	1194	Mercedes-Benz	34012	6500	dealer
1178	62	1178	BWM	44877	6000	private
1113	61	1113	BWM	39436	2000	dealer
1173	60	1173	Toyota	30622	500	other
1276	59	1276	Renault	46879	3500	private
1038	58	1038	Renault	24759	2000	dealer
1094	57	1094	Audi	32904	7000	dealer
1179	55	1179	VW	24072	7500	dealer
1047	54	1047	Toyota	10450	9000	other
1247	53	1247	Mazda	12951	5500	dealer
1056	52	1056	Fiat	11322	5500	dealer
1058	51	1058	Mazda	34454	2500	private
1209	50	1209	Renault	3109	9500	private
1207	49	1207	Mazda	2920	8500	dealer
1292	48	1292	Mazda	42531	6500	private
1065	47	1065	Mazda	2498	2500	private
1255	46	1255	Mercedes-Benz	1558	3000	dealer
1088	45	1088	Audi	23947	9500	other
1175	44	1175	VW	32871	7000	dealer
1109	43	1109	Audi	24906	0	dealer
1168	42	1168	Renault	39156	7000	private
1270	41	1270	Toyota	13925	9500	other
1075	40	1075	Audi	36845	7000	dealer
1281	39	1281	Mazda	376	9500	other
1042	38	1042	Renault	29281	2500	dealer
