1006	141
1271	138
1250	136
1132	135
1235	133
1258	131
1010	130
1181	128
1098	127
1061	126
1285	125
1204	124
1118	123
1236	121
1138	120
1298	119
1099	118
1122	117
1147	115
1265	114
1134	112
1262	111
1037	110
1018	109
1093	108
1082	107
1215	106
1064	105
1123	104
1241	102
1290	101
1286	100
1257	99
1025	98
1144	97
1232	96
1135	95
1077	94
1280	93
1012	92
1067	91
1004	90
1254	89
1275	87
1225	86
1218	85
1074	84
1115	83
1005	81
1057	80
1216	79
1242	78
1203	77
1199	76
1198	75
1260	74
1141	73
1229	72
1149	71
1013	70
1170	68
1163	67
1217	66
1020	65
1146	64
1194	63
1178	62
1113	61
1173	60
1276	59
1038	58
1094	57
1179	55
1047	54
1247	53
1056	52
1058	51
1209	50
1207	49
1292	48
1065	47
1255	46
1088	45
1175	44
1109	43
1168	42
1270	41
1075	40
1281	39
1042	38
